match_id,archive_id,n,mean,p10,p50,p90
116792888905448381,grid-2975629-m1,359,-8.07256444951532,-8.577158540800001,-8.093247808,-7.5011234048
116793933806066958,grid-2965529-m2,330,-7.523133723927273,-8.09217584,-7.53228,-7.008374636799999
117030752644841646,grid-2987006-m3,261,-8.039219714452107,-8.586632832,-8.040531072,-7.4487888
115548681803406324,grid-3002602-m3,394,-7.88763338590863,-8.457550624,-7.848961472,-7.3998606016
115565004607949391,grid-3000372-m4,256,-8.3009180455,-8.928532,-8.262742496000001,-7.725277888
115565004607949403,grid-3000375-m4,614,-8.311639512495113,-8.9310488,-8.4235224,-7.885031852799999
116996464901702559,grid-3005570-m3,525,-8.380578379337143,-8.9037593344,-8.365568192,-7.8571251712
116833506932324835,grid-2972362-m2,295,-7.8479364746847455,-8.377830784,-7.858033984,-7.3610136192
116996464901636936,grid-2991209-m2,294,-7.692815853278911,-8.117987936,-7.594550527999999,-7.1271214528
116792888905448364,grid-2975625-m2,489,-8.035817848016361,-8.5927163776,-8.062763008,-7.467542144
117030752644841602,grid-2987017-m1,307,-7.030959527192182,-7.592480896,-7.037805952,-6.5108456576
117030752644841615,grid-2987019-m2,352,-8.27241182109091,-8.8526929984,-8.296140959999999,-7.690286336
115548681803406298,grid-3002597-m1,425,-8.074485178277648,-8.60009536,-8.079739008,-7.5712112128
115548681803406293,grid-3002598-m2,357,-7.888051296268907,-8.7039707136,-8.175329984,-7.6339801344
115565671526403065,grid-2973272-m2,306,-8.655412484392157,-9.261097119999999,-8.667148128000001,-8.059470592
115564797163821177,grid-2964617-m2,329,-7.968411000413374,-8.5319516416,-7.945264896,-7.4550773888
115564797163886789,grid-2964620-m2,219,-7.699401823853882,-8.2675679488,-7.732225024,-7.095562687999999
116520885021783391,grid-2967262-m1,259,-11.333377479413128,-12.0779624832,-11.341974912,-10.65337696
116833506932324840,grid-2972363-m1,277,-8.39095465426715,-9.1215437184,-8.327505088,-7.7394845056
116793933806066943,grid-2965525-m1,266,-9.718579075368421,-10.278039456,-9.785867008,-9.09429952
116996464901636951,grid-2991214-m1,595,-7.727070612006722,-8.241360192,-7.751022912,-7.136404736
117030752644841621,grid-2987021-m2,452,-7.8829794887079645,-8.3936274624,-7.909811872,-7.3382891072
117030752644841628,grid-2987020-m3,259,-7.867026586440154,-8.4365825408,-7.885413056,-7.2786310656
117030752644841634,grid-2987004-m3,426,-7.574547285784038,-8.291440448,-7.557783552,-6.813528448
116793933806066953,grid-2965528-m3,243,-9.17541915127572,-9.6608959232,-9.239865984,-8.533509056
