model,trees_kept,tail_mean_abs_c,tail_p95_abs_c,tail_max_abs_c,gate_change_fraction,direction_change_fraction,mae_gain_c
l1_research,10,0.9998394800285683,2.485253195817746,4.1436573042352975,0.3191245287242154,0.16494127851262214,0.09574329126934943
l1_research,20,0.6016062438574135,1.5183811564935565,2.8006078336043454,0.1570895966089128,0.07871617131705407,0.13570703550207447
l1_research,30,0.2931514378877066,0.7457225358081756,1.4721921977306867,0.08273819100046866,0.045224988283681794,0.141558701656346
l1_research,40,0.04881884492684283,0.11882893284065436,0.1526134639419731,0.01582927051055168,0.008540671362520373,0.1473042058101634
hm_research,50,1.0070301342863712,2.6160587826616135,4.1434737692904635,0.32653903457537964,0.17679399564922393,0.0909583780183175
hm_research,100,0.6060076728405905,1.6482605716721055,2.7142531708939535,0.1484370081769409,0.07713184530263074,0.1355602313131209
hm_research,150,0.3516209477751398,0.9135645921693105,1.7937037738831227,0.08336772451613354,0.04698768212754349,0.15011214365120423
hm_research,200,0.12554921467438587,0.3591015143565961,0.6767620531671243,0.02801424144708771,0.017752845141749962,0.15618639688597802
hm_research,216,0.075266193534605,0.20723249649807432,0.37342590011997867,0.018424347558459182,0.010201940362191617,0.15722909535324472
hm_research,226,0.03660758589185995,0.109495686551799,0.1778935512667532,0.008197925337325043,0.00559585347257682,0.15829543951755726
hm_research,235,0.006822517859868163,0.02021672261037638,0.026652979211758132,0.0016262949154676385,0.0021299217279995525,0.15880036870659392
l1_production,10,1.0284947218720015,2.521008965116086,4.201725556756728,0.36101648678329357,0.11957289648370557,0.1719926176837949
l1_production,20,0.5834715809445654,1.4957704012877855,2.7637654039697113,0.14708351111826137,0.0649573665913558,0.2709449822860203
l1_production,30,0.29421225399623746,0.7377817498132093,1.3273785831099603,0.08032847659884026,0.032543385351454575,0.3359825497194337
l1_production,40,0.05299041028425619,0.1255042161006425,0.1959085034852242,0.017042871232416778,0.008624609164609024,0.38255402166477065
hm_production,50,1.0063970018326067,2.5210458059811924,4.110593679803076,0.35800871554178354,0.12985177983114513,0.13201808722732428
hm_production,100,0.6134128704067647,1.5680640937284267,2.7773616036471176,0.16547987940935766,0.05154480529927324,0.20260879628370693
hm_production,150,0.33763100729080775,0.8747501945695555,1.6014492565493483,0.09350321411833831,0.031053489364380994,0.2496006632018448
hm_production,200,0.14066870699622155,0.38483442447553584,0.6741375814200534,0.044710869245888796,0.0192287514951421,0.2806022135523339
hm_production,216,0.07818577890570755,0.23084125281134238,0.3931065889928243,0.024118128466806096,0.011618390772437624,0.2914202554757652
hm_production,226,0.03837486270375497,0.11224692400899974,0.19540021618799988,0.011709323391366997,0.005651812007302589,0.29827146441314134
hm_production,235,0.006464156027760459,0.02352368731063821,0.02738766017672499,0.0026755174415757925,0.0012695592565908661,0.3033314120201839
