match,second,model,fair_live,fair_replay,err
grid-2964617-m1,76,20260904T193238Z,0.4294020995845112,0.4294020995845112,0.0
grid-2964617-m1,78,20260904T193238Z,0.42681756963752965,0.42681756963752965,0.0
grid-2964617-m1,86,20260904T193238Z,0.4434519692124304,0.4434519692124304,0.0
grid-2964617-m1,99,20260904T193238Z,0.47297807422680543,0.47297807422680543,0.0
grid-2964617-m1,104,20260904T193238Z,0.47710944142409345,0.47710944142409345,0.0
grid-2964617-m1,108,20260904T193238Z,0.4813152211502188,0.4813152211502188,0.0
grid-2964617-m1,108,20260904T193238Z,0.4813152211502188,0.4813152211502188,0.0
grid-2964617-m1,110,20260904T193238Z,0.4813152211502188,0.4813152211502188,0.0
grid-2964617-m1,112,20260904T193238Z,0.4713152211502188,0.4713152211502188,0.0
grid-2964617-m1,117,20260904T193238Z,0.46045611725284685,0.46045611725284685,0.0
grid-2964617-m1,120,20260904T193238Z,0.4754561172528468,0.4754561172528468,0.0
grid-2964617-m1,122,20260904T193238Z,0.4804561172528468,0.4804561172528468,0.0
grid-2964617-m1,124,20260904T193238Z,0.4783308922518178,0.4783308922518178,0.0
grid-2964617-m1,125,20260904T193238Z,0.4783308922518178,0.4783308922518178,0.0
grid-2964617-m1,141,20260904T193238Z,0.4422425424531025,0.4422425424531025,0.0
grid-2964617-m1,148,20260904T193238Z,0.45709702218718007,0.45709702218718007,0.0
grid-2964617-m1,150,20260904T193238Z,0.42268031122040384,0.42268031122040384,0.0
grid-2964617-m1,159,20260904T193238Z,0.4620970221871801,0.4620970221871801,0.0
grid-2964617-m1,162,20260904T193238Z,0.4620970221871801,0.4620970221871801,0.0
grid-2964617-m1,168,20260904T193238Z,0.4449175375501854,0.4449175375501854,0.0
grid-2964617-m1,168,20260904T193238Z,0.44691330651153566,0.44691330651153566,0.0
grid-2964617-m1,170,20260904T193238Z,0.43691330651153565,0.43691330651153565,0.0
grid-2964617-m1,174,20260904T193238Z,0.46554991065416695,0.46554991065416695,0.0
grid-2964617-m1,176,20260904T193238Z,0.46554991065416695,0.46554991065416695,0.0
grid-2964617-m1,176,20260904T193238Z,0.46554991065416695,0.46554991065416695,0.0
grid-2964617-m1,191,20260904T193238Z,0.46710944142409344,0.46710944142409344,0.0
grid-2964617-m1,198,20260904T193238Z,0.46710944142409344,0.46710944142409344,0.0
grid-2964617-m1,216,20260904T193238Z,0.4620970221871801,0.4620970221871801,0.0
grid-2964617-m1,218,20260904T193238Z,0.4143131093338935,0.4143131093338935,0.0
grid-2964617-m1,220,20260904T193238Z,0.4068965163618649,0.4068965163618649,0.0
grid-2964617-m1,221,20260904T193238Z,0.4133904134028256,0.4133904134028256,0.0
grid-2964617-m1,228,20260904T193238Z,0.4339961456136272,0.4339961456136272,0.0
grid-2964617-m1,231,20260904T193238Z,0.45284200257727125,0.45284200257727125,0.0
grid-2964617-m1,234,20260904T193238Z,0.4516689932284901,0.4516689932284901,0.0
grid-2964617-m1,238,20260904T193238Z,0.4399175375501854,0.4399175375501854,0.0
grid-2964617-m1,240,20260904T193238Z,0.45888261740275677,0.45888261740275677,0.0
grid-2964617-m1,256,20260904T193238Z,0.4789151373767983,0.4789151373767983,0.0
grid-2964617-m1,258,20260904T193238Z,0.4748341482935373,0.4748341482935373,0.0
grid-2964617-m1,264,20260904T193238Z,0.48864473819642557,0.48864473819642557,0.0
grid-2964617-m1,282,20260904T193238Z,0.5252492879317713,0.5252492879317713,0.0
grid-2964617-m1,292,20260904T193238Z,0.5185898936504078,0.5185898936504078,0.0
grid-2964617-m1,296,20260904T193238Z,0.5212721841494404,0.5212721841494404,0.0
grid-2964617-m1,302,20260904T193238Z,0.5277407274242487,0.5277407274242487,0.0
grid-2964617-m1,309,20260904T193238Z,0.5280855555323153,0.5280855555323153,0.0
grid-2964617-m1,310,20260904T193238Z,0.5280855555323153,0.5280855555323153,0.0
grid-2964617-m1,322,20260904T193238Z,0.5514879336240572,0.5514879336240572,0.0
grid-2964617-m1,324,20260904T193238Z,0.5464879336240573,0.5464879336240573,0.0
grid-2964617-m1,326,20260904T193238Z,0.5464879336240573,0.5464879336240573,0.0
grid-2964617-m1,328,20260904T193238Z,0.519165804042295,0.519165804042295,0.0
grid-2964617-m1,328,20260904T193238Z,0.5231429078246258,0.5231429078246258,0.0
grid-2964617-m1,338,20260904T193238Z,0.532661298648822,0.532661298648822,0.0
grid-2964617-m1,345,20260904T193238Z,0.5227026800135963,0.5227026800135963,0.0
grid-2964617-m1,346,20260904T193238Z,0.5327026800135963,0.5327026800135963,0.0
grid-2964617-m1,368,20260904T193238Z,0.5256622572755214,0.5256622572755214,0.0
grid-2964617-m1,369,20260904T193238Z,0.5308990191380267,0.5308990191380267,0.0
grid-2964617-m1,372,20260904T193238Z,0.4997092040260365,0.4997092040260365,0.0
grid-2964617-m1,376,20260904T193238Z,0.4995778680789636,0.4995778680789636,0.0
grid-2964617-m1,390,20260904T193238Z,0.49257844090919434,0.49257844090919434,0.0
grid-2964617-m1,392,20260904T193238Z,0.4933854375724467,0.4933854375724467,0.0
grid-2964617-m1,393,20260904T193238Z,0.5012790574653012,0.5012790574653012,0.0
grid-2964617-m1,394,20260904T193238Z,0.5012790574653012,0.5012790574653012,0.0
grid-2964617-m1,397,20260904T193238Z,0.5769133108629667,0.5769133108629667,0.0
grid-2964617-m1,398,20260904T193238Z,0.5806815294506638,0.5806815294506638,0.0
grid-2964617-m1,399,20260904T193238Z,0.5806815294506638,0.5806815294506638,0.0
grid-2964617-m1,402,20260904T193238Z,0.5856263686148233,0.5856263686148233,0.0
grid-2964617-m1,414,20260904T193238Z,0.5929695105844741,0.5929695105844741,0.0
