match,n,med_gap,p90,max_gap,stale_share
grid-2964617-m1,93,3.6080081462860107,13.8996238231659,75.3021068572998,0.17769635871604636
grid-2964617-m2,93,3.6042004823684692,11.165380620956423,75.28196787834167,0.13512788127969813
grid-2964619-m1,94,3.634035110473633,13.469578981399534,50.046605825424194,0.09071579376856485
grid-2964619-m2,117,2.0082534551620483,11.779759526252747,70.57589197158813,0.16213258019200077
grid-2964620-m1,150,2.000725030899048,7.694514513015753,54.07896614074707,0.08543367253409492
grid-2964620-m2,117,2.8113428354263306,9.660989999771118,71.30973291397095,0.10242543132216841
grid-2965523-m1,106,2.4346749782562256,12.509666204452522,167.85810804367065,0.37868572738435535
grid-2965523-m2,32,4.810683965682983,8.408336162567139,20.389310121536255,0.00812835207691899
grid-2965523-m3,87,3.9913545846939087,13.031685948371887,70.46947407722473,0.1298997680346171
grid-2965524-m1,87,3.2023779153823853,16.222071051597595,72.8403992652893,0.16180639929241605
grid-2965524-m2,95,2.4051958322525024,12.822245931625366,76.09500479698181,0.1523289194813481
grid-2965524-m3,115,2.801693558692932,12.059721159935002,117.50815916061401,0.36189568793332133
grid-2965525-m1,94,3.2001590728759766,10.844898509979245,43.110095262527466,0.07807173905549226
grid-2965525-m2,92,4.030689001083374,10.415828943252563,67.34110689163208,0.11525501939985487
grid-2965526-m1,92,3.1911442279815674,14.849426031112671,134.19653606414795,0.28883132183993304
grid-2965526-m2,86,3.21004581451416,14.416281461715698,40.80878400802612,0.18879973711790862
grid-2965526-m3,91,3.4049899578094482,14.857790184020999,76.12168502807617,0.12047702559718379
grid-2965527-m1,81,3.2090113162994385,12.113227391242988,26.029491901397705,0.07752710139309918
grid-2965527-m2,109,3.1961915493011475,9.614071536064149,75.35054802894592,0.14347147323467113
grid-2965527-m3,109,2.8045331239700317,8.92601442337036,34.093416929244995,0.04262040147074947
grid-2965528-m1,101,3.599329948425293,11.591575503349304,70.11258292198181,0.1338461125338519
grid-2965528-m2,107,2.8060845136642456,10.808891534805298,75.31231904029846,0.15803349547915987
grid-2965528-m3,95,2.3943389654159546,12.00237970352173,157.0208818912506,0.3607376990494905
grid-2965529-m1,88,4.006117820739746,11.541819095611578,75.29714584350586,0.13224181775693541
grid-2965529-m2,94,4.004383087158203,11.77384223937988,69.3037440776825,0.1528581319031892
grid-2965529-m3,105,2.8060258626937866,10.723489856719976,70.49543309211731,0.14707812644817211
grid-2965530-m1,80,3.2206618785858154,13.290633296966554,116.1629250049591,0.24656628326133445
grid-2965530-m2,78,4.810043811798096,14.024134540557862,72.89987397193909,0.1270140352072539
grid-2965530-m3,123,2.7985960245132446,9.92798631191254,18.8301899433136,0.008994431848879214
grid-2967260-m1,110,3.197437047958374,9.300255966186525,88.13007307052612,0.17313322844328705
grid-2967260-m2,96,3.215146064758301,11.235572862625123,74.11575293540955,0.12929222583770753
grid-2967260-m3,91,3.19519305229187,12.103514695167549,74.5111768245697,0.1448370960023668
grid-2967261-m2,90,3.606821298599243,10.479636001586915,36.87899899482727,0.07222177805723967
grid-2967261-m4,95,3.9906164407730103,12.011158895492553,27.634493827819824,0.036571125189463295
grid-2967262-m1,74,5.192919969558716,14.983932447433467,26.06550908088684,0.04562106397416857
grid-2967262-m2,100,3.2020020484924316,12.169718980789186,71.29934477806091,0.1694879620163529
grid-2967262-m3,95,3.6032239198684692,12.580742931365968,78.5393180847168,0.1450412220425076
grid-2968611-m1,92,3.5949740409851074,10.820768117904663,34.06419777870178,0.0483417687592683
grid-2968611-m2,93,3.4230844974517822,11.539731359481816,73.31013107299805,0.15076259771982828
grid-2968611-m3,121,2.8010789155960083,10.818040680885314,29.647480726242065,0.042636169769145825
grid-2968611-m4,104,3.5604348182678223,11.149114942550659,205.9430000782013,0.372593245682893
grid-2968612-m1,84,3.61063289642334,13.842826318740842,83.68535614013672,0.2102796099804066
grid-2968612-m2,129,2.399604916572571,8.528737258911132,62.08205485343933,0.08618849736672861
grid-2968612-m3,92,3.200545072555542,12.010792970657349,81.32617616653442,0.18430087080708257
grid-2968612-m4,87,3.1997510194778442,14.43184757232666,133.77575421333313,0.28669217427571614
grid-2968613-m1,82,3.2088937759399414,12.42713212966919,33.250818967819214,0.061815075521115904
grid-2968613-m2,92,3.2044732570648193,15.614934921264648,72.95220398902893,0.1488080276383294
grid-2968613-m3,102,3.2034308910369873,10.790129899978638,88.92758917808533,0.20583307566466155
grid-2968614-m1,88,3.6085281372070312,12.421974039077758,31.637576818466187,0.06242436303032769
grid-2968614-m2,99,3.1995850801467896,9.738699316978453,69.33663487434387,0.14498285717434353
grid-2968614-m3,72,3.613162040710449,16.02630090713501,24.03687024116516,0.04276560854028772
grid-2971822-m2,105,2.802447557449341,9.493879055976869,21.6611909866333,0.010483687012283891
grid-2971823-m1,104,2.794856071472168,11.538779926300048,22.030200719833374,0.018560172010351112
grid-2971823-m2,109,4.009923934936523,9.987075400352477,57.70021319389343,0.12565265187510738
grid-2971824-m1,88,2.8462209701538086,12.977982902526858,71.72143125534058,0.1478717940825003
grid-2971824-m2,93,4.00832998752594,10.810500454902648,70.10936117172241,0.12855730763188114
grid-2971825-m1,82,4.809329032897949,13.212626934051514,113.7231810092926,0.24205528497695922
grid-2971825-m2,89,3.014408826828003,11.339084839820861,38.05728721618652,0.12571493961192942
grid-2971825-m3,84,3.2025043964385986,13.384854745864864,25.25567603111267,0.058919218292942756
grid-2972362-m2,87,2.8179008960723877,12.01543414592743,86.9330050945282,0.22446950232541119
grid-2972362-m3,136,2.804385185241699,7.855122947692874,66.08498692512512,0.09274997578726875
