game,rule,latency_s,mode,maps,triggered,baseline_net,delta_net,candidate_net,baseline_worst,candidate_worst,baseline_tail5,candidate_tail5,delta_with_extra_1c
dota,stop_3c,2,all_at_bid,30,21,100.33533371298356,-82.6763348946307,17.658998818352853,-78.91534447561551,-78.91534447561551,-73.32981901496075,-66.93362870258625,-120.52172695463071
dota,stop_3c,2,top_only,30,21,100.33533371298356,-75.16658499603793,25.168748716945633,-78.91534447561551,-78.91534447561551,-73.32981901496075,-73.90102038497108,-90.35462860603792
dota,stop_5c,2,all_at_bid,30,16,100.33533371298356,-150.29821711874752,-49.96288340576396,-78.91534447561551,-68.06267910615702,-73.32981901496075,-67.44332023213627,-192.03612973874752
dota,stop_5c,2,top_only,30,16,100.33533371298356,-47.743513275894166,52.59182043708939,-78.91534447561551,-78.81164591561551,-73.32981901496075,-74.41090312839394,-57.739040145894165
dota,stop_8c,2,all_at_bid,30,10,100.33533371298356,-32.49346572660126,67.8418679863823,-78.91534447561551,-100.85248255811555,-73.32981901496075,-77.83116103474826,-59.40149860660126
dota,stop_8c,2,top_only,30,10,100.33533371298356,-18.519558350458013,81.81577536252554,-78.91534447561551,-79.25467697561551,-73.32981901496075,-73.71340017519255,-25.03838144045801
dota,loss_10pct,2,all_at_bid,30,14,100.33533371298356,-95.49531898073747,4.840014732246091,-78.91534447561551,-54.95191292955697,-73.32981901496075,-50.47763221314724,-136.98663160073747
dota,loss_10pct,2,top_only,30,14,100.33533371298356,-35.74122527404846,64.5941084389351,-78.91534447561551,-73.70431163311551,-73.32981901496075,-71.29550396372107,-45.20385214404846
dota,losing_300s,2,all_at_bid,30,3,100.33533371298356,-0.17040956696223475,100.16492414602132,-78.91534447561551,-78.91534447561551,-73.32981901496075,-73.32981901496075,-3.298269776962235
dota,losing_300s,2,top_only,30,3,100.33533371298356,3.689627939721788,104.02496165270534,-78.91534447561551,-78.91534447561551,-73.32981901496075,-73.32981901496075,1.6896279397217882
dota,loss_15pct,2,all_at_bid,30,9,100.33533371298356,-24.021912086964022,76.31342162601953,-78.91534447561551,-68.06267910615702,-73.32981901496075,-67.44332023213627,-57.76387474696402
dota,loss_15pct,2,top_only,30,9,100.33533371298356,-39.420919888220254,60.9144138247633,-78.91534447561551,-78.81164591561551,-73.32981901496075,-74.41090312839394,-47.09971988822026
dota,loss_20pct,2,all_at_bid,30,9,100.33533371298356,-38.578037971062514,61.75729574192104,-78.91534447561551,-100.85248255811555,-73.32981901496075,-77.83116103474826,-64.57014776106251
dota,loss_20pct,2,top_only,30,9,100.33533371298356,-24.643642024919274,75.69169168806428,-78.91534447561551,-79.25467697561551,-73.32981901496075,-73.71340017519255,-30.253042024919274
dota,losing_480s,2,all_at_bid,30,1,100.33533371298356,-5.5682051270199935,94.76712858596356,-78.91534447561551,-78.91534447561551,-73.32981901496075,-73.32981901496075,-6.916638467019993
dota,losing_480s,2,top_only,30,1,100.33533371298356,-3.14453688579988,97.19079682718368,-78.91534447561551,-78.91534447561551,-73.32981901496075,-73.32981901496075,-3.9035368857998805
dota,reverse_2signals,2,all_at_bid,30,6,100.33533371298356,11.165309809082473,111.50064352206603,-78.91534447561551,-78.91534447561551,-73.32981901496075,-66.67890823177652,-1.7016230609175267
dota,reverse_2signals,2,top_only,30,6,100.33533371298356,-4.885713208167758,95.4496205048158,-78.91534447561551,-78.91534447561551,-73.32981901496075,-74.90746251589464,-10.712769628167758
dota,stop_3c,5,all_at_bid,30,23,100.33533371298356,-43.250157528571165,57.08517618441239,-78.91534447561551,-54.95191292955697,-73.32981901496075,-53.12301562697225,-93.95211342857117
dota,stop_3c,5,top_only,30,23,100.33533371298356,-60.80661755112577,39.52871616185779,-78.91534447561551,-77.54534197561551,-73.32981901496075,-73.21601913497108,-78.88285323112576
dota,stop_5c,5,all_at_bid,30,16,100.33533371298356,-123.87438527889253,-23.539051565908984,-78.91534447561551,-68.06267910615702,-73.32981901496075,-67.44332023213627,-165.61229789889254
dota,stop_5c,5,top_only,30,16,100.33533371298356,-19.7294654830999,80.60586822988365,-78.91534447561551,-78.81164591561551,-73.32981901496075,-73.82131464519256,-30.0663988230999
dota,stop_8c,5,all_at_bid,30,10,100.33533371298356,-25.045271468211297,75.29006224477226,-78.91534447561551,-92.35820290811554,-73.32981901496075,-76.85007794618576,-51.9533043482113
dota,stop_8c,5,top_only,30,10,100.33533371298356,-21.752589046423964,78.58274466655959,-78.91534447561551,-79.39570947561552,-73.32981901496075,-77.78413901589462,-29.880512136423963
dota,loss_10pct,5,all_at_bid,30,14,100.33533371298356,-73.27254700229246,27.062786710691096,-78.91534447561551,-54.95191292955697,-73.32981901496075,-53.12301562697225,-114.76385962229246
dota,loss_10pct,5,top_only,30,14,100.33533371298356,-11.35236682015696,88.9829668928266,-78.91534447561551,-73.70431163311551,-73.32981901496075,-71.29550396372107,-23.15220016015696
dota,losing_300s,5,all_at_bid,30,3,100.33533371298356,-1.8120945232172403,98.52323918976631,-78.91534447561551,-78.91534447561551,-73.32981901496075,-73.32981901496075,-4.93995473321724
dota,losing_300s,5,top_only,30,3,100.33533371298356,-0.10404610819361437,100.23128760478994,-78.91534447561551,-78.91534447561551,-73.32981901496075,-73.32981901496075,-1.4719729781936146
dota,loss_15pct,5,all_at_bid,30,10,100.33533371298356,-15.209878674094028,85.12545503888953,-78.91534447561551,-68.06267910615702,-73.32981901496075,-67.44332023213627,-49.219141334094026
dota,loss_15pct,5,top_only,30,10,100.33533371298356,-15.87826165081708,84.45707206216647,-78.91534447561551,-78.81164591561551,-73.32981901496075,-73.82131464519256,-24.56569499081708
dota,loss_20pct,5,all_at_bid,30,9,100.33533371298356,-20.900955941512535,79.43437777147102,-78.91534447561551,-92.35820290811554,-73.32981901496075,-73.58402120974826,-46.893065731512536
dota,loss_20pct,5,top_only,30,9,100.33533371298356,-16.524253421196065,83.81108029178749,-78.91534447561551,-79.39570947561552,-73.32981901496075,-73.78391642519256,-21.633653421196065
dota,losing_480s,5,all_at_bid,30,1,100.33533371298356,-2.9306695139799928,97.40466419900356,-78.91534447561551,-78.91534447561551,-73.32981901496075,-73.32981901496075,-4.2791028539799925
dota,losing_480s,5,top_only,30,1,100.33533371298356,-0.4454918693510308,99.88984184363252,-78.91534447561551,-78.91534447561551,-73.32981901496075,-73.32981901496075,-0.6491918693510308
dota,reverse_2signals,5,all_at_bid,30,6,100.33533371298356,16.16246466865998,116.49779838164353,-78.91534447561551,-78.91534447561551,-73.32981901496075,-66.17972033687276,4.187446698659979
dota,reverse_2signals,5,top_only,30,6,100.33533371298356,1.150303068967247,101.4856367819508,-78.91534447561551,-78.91534447561551,-73.32981901496075,-74.90746251589464,-3.9656533510327527
lol,stop_3c,2,all_at_bid,47,50,-128.061366937352,33.903607106038194,-94.15775983131381,-66.45923032786749,-17.734059462968744,-42.24448608694983,-16.753625722562077,10.464764766038197
lol,stop_3c,2,top_only,47,50,-128.061366937352,-11.856918703758282,-139.9182856411103,-66.45923032786749,-58.752830327867485,-42.24448608694983,-35.06346733217273,-24.347286663758283
lol,stop_5c,2,all_at_bid,47,33,-128.061366937352,-41.21549671461895,-169.27686365197096,-66.45923032786749,-63.10559577467875,-42.24448608694983,-35.91522496991075,-64.36778258461895
lol,stop_5c,2,top_only,47,33,-128.061366937352,-31.15781258597363,-159.21917952332564,-66.45923032786749,-58.752830327867485,-42.24448608694983,-43.07887575273494,-38.34653639597363
lol,stop_8c,2,all_at_bid,47,21,-128.061366937352,-28.250859162479486,-156.3122260998315,-66.45923032786749,-63.10559577467875,-42.24448608694983,-42.0374580818785,-48.23930926247948
lol,stop_8c,2,top_only,47,21,-128.061366937352,-23.16103182248827,-151.22239875984027,-66.45923032786749,-41.621534975581,-42.24448608694983,-37.75109931501007,-33.32534902248827
lol,loss_10pct,2,all_at_bid,47,38,-128.061366937352,20.022484235216282,-108.03888270213572,-66.45923032786749,-27.189702610241753,-42.24448608694983,-20.401072352225995,-3.34396308478372
lol,loss_10pct,2,top_only,47,38,-128.061366937352,-12.907039020074535,-140.96840595742654,-66.45923032786749,-58.752830327867485,-42.24448608694983,-35.06346733217273,-23.666439020074534
