match_id,game,side,outcome,fill_second,fill_ts_utc,fill_price,fill_size,horizon_s,matched_signal_second,target_game_second,match_distance_s,future_mid,raw_mid_minus_fill_cents,signed_markout_cents
8975871235,dota,BUY,no,59,2026-08-31T12:27:52.200273Z,0.49,102.04,30,98,89.07506599999999,8.924934000000007,0.45499999999999996,-3.500000000000003,-3.500000000000003
8975871235,dota,BUY,no,59,2026-08-31T12:27:52.200273Z,0.49,102.04,60,127,119.07506600000002,7.924933999999979,0.5,1.0000000000000009,1.0000000000000009
8975871235,dota,SELL,no,115,2026-08-31T12:28:58.307701Z,0.48,102.04,30,158,155.18249400000002,2.8175059999999803,0.55,7.000000000000006,-7.000000000000006
8975871235,dota,SELL,no,115,2026-08-31T12:28:58.307701Z,0.48,102.04,60,194,185.18249400000002,8.81750599999998,0.6599999999999999,17.999999999999993,-17.999999999999993
8975871235,dota,BUY,no,234,2026-08-31T12:30:47.050141Z,0.69,72.45,10,249,243.924934,5.0750659999999925,0.605,-8.499999999999996,-8.499999999999996
8975871235,dota,BUY,no,234,2026-08-31T12:30:47.050141Z,0.69,72.45,60,296,293.924934,2.0750659999999925,0.625,-6.499999999999995,-6.499999999999995
8975871235,dota,BUY,no,234,2026-08-31T12:30:47.050141Z,0.69,72.45,300,536,533.924934,2.0750659999999925,0.63,-5.999999999999995,-5.999999999999995
8975871235,dota,SELL,no,536,2026-08-31T12:35:47.601912Z,0.6,72.45,10,546,544.4767049999999,1.5232950000000756,0.61,1.0000000000000009,-1.0000000000000009
8975871235,dota,SELL,no,536,2026-08-31T12:35:47.601912Z,0.6,72.45,30,565,564.4767049999999,0.5232950000000756,0.55,-4.999999999999993,4.999999999999993
8975871235,dota,SELL,no,536,2026-08-31T12:35:47.601912Z,0.6,72.45,60,598,594.4767049999999,3.5232950000000756,0.515,-8.499999999999996,8.499999999999996
8975871235,dota,SELL,no,536,2026-08-31T12:35:47.601912Z,0.6,72.45,300,835,834.4767049999999,0.5232950000000756,0.475,-12.5,12.5
8976012755,dota,BUY,no,113,2026-08-31T13:44:12.226299Z,0.68,73.53,10,129,121.3396685,7.660331499999998,0.65,-3.0000000000000027,-3.0000000000000027
8976012755,dota,SELL,no,185,2026-08-31T13:45:23.355308Z,0.62,73.53,10,196,192.4686775,3.5313224999999875,0.635,1.5000000000000013,-1.5000000000000013
8976012755,dota,SELL,no,185,2026-08-31T13:45:23.355308Z,0.62,73.53,30,216,212.46867749999996,3.5313225000000443,0.63,1.0000000000000009,-1.0000000000000009
8976012755,dota,SELL,no,185,2026-08-31T13:45:23.355308Z,0.62,73.53,60,251,242.46867749999996,8.531322500000044,0.635,1.5000000000000013,-1.5000000000000013
8976012755,dota,SELL,no,185,2026-08-31T13:45:23.355308Z,0.62,73.53,300,490,482.4686775,7.5313224999999875,0.74,12.0,-12.0
8976012755,dota,BUY,yes,196,2026-08-31T13:45:38.546962Z,0.36,66.47125,10,216,207.66033149999998,8.339668500000016,0.37,1.0000000000000009,1.0000000000000009
8976012755,dota,BUY,yes,196,2026-08-31T13:45:38.546962Z,0.36,66.47125,30,231,227.66033149999998,3.339668500000016,0.365,0.5000000000000004,0.5000000000000004
8976012755,dota,BUY,yes,196,2026-08-31T13:45:38.546962Z,0.36,66.47125,60,259,257.6603315,1.3396685000000161,0.365,0.5000000000000004,0.5000000000000004
8976012755,dota,BUY,yes,196,2026-08-31T13:45:38.546962Z,0.36,66.47125,300,500,497.6603315,2.339668500000016,0.26,-9.999999999999998,-9.999999999999998
8976012755,dota,SELL,yes,0,2026-08-31T14:12:05.000000Z,0.63,66.47,60,1847,1844.1133695,2.88663049999991,0.945,31.499999999999993,-31.499999999999993
8976012755,dota,SELL,yes,0,2026-08-31T14:12:05.000000Z,0.63,66.47,300,2091,2084.1133695,6.8866305000001375,0.7,6.999999999999995,-6.999999999999995
8976441468,dota,BUY,no,277,2026-08-31T17:47:53.458651Z,0.62,80.65,10,228,227.06583549999996,0.9341645000000369,0.6699999999999999,4.999999999999993,4.999999999999993
8976441468,dota,BUY,no,277,2026-08-31T17:47:53.458651Z,0.62,80.65,30,251,247.06583549999996,3.934164500000037,0.67,5.000000000000004,5.000000000000004
8976441468,dota,BUY,no,277,2026-08-31T17:47:53.458651Z,0.62,80.65,60,287,277.06583549999993,9.934164500000065,0.61,-1.0000000000000009,-1.0000000000000009
8976441468,dota,BUY,no,277,2026-08-31T17:47:53.458651Z,0.62,80.65,300,523,517.0658355,5.934164499999952,0.745,12.5,12.5
