tournament,maps,maps_with_fills,fills,buy_notional_known_net_maps,net_known_maps,net_per_buy_notional,maps_with_known_net
EMEA Masters - Summer 2026 (Play-Ins: Group A),11,8,35,386.163867,-10.141667000000016,-0.026262599550775725,11
LEC - Summer 2026 (Playoffs: Playoffs),10,7,40,119.92830000000001,4.4337,0.03696958932962445,9
LCS - Split 3 2026 (Playoffs: Playoffs),9,7,25,74.9525,7.275299999999999,0.0970654748007071,9
EMEA Masters - Summer 2026 (Play-Ins: Group B),4,0,0,0,0.0,,4
EMEA Masters - Summer 2026 (Play-Ins: Group C),4,1,4,39.989399999999996,-0.48179999999999623,-0.012048192771084244,4
Hitpoint Masters - Summer 2026 (Playoffs: Playoffs),3,0,0,0,0.0,,3
EMEA Masters - Summer 2026 (Play-Ins: Group D),3,1,5,59.9911,-2.0713000000000044,-0.03452678814024087,3
