match_id,game,feed_source,joined_at_utc,tournament,teams_radiant,teams_dire,map_number,yes_is_radiant,fills,buy_fills,sell_fills,buy_notional,sell_notional,net,net_source,pnl_per_buy_notional,fill_outcomes,unknown_token_fills,first_entry_second,clip_buy_quote_median,clip_buy_quote_p90,clip_quote_count,hold_seconds_weighted_mean,hold_seconds_median_allocation,sell_matched_buy_shares,first_model_second,signal_rows,signal_gap_median_s,signal_gap_p90_s,signal_gap_gt5_s,signal_gap_gt10_s,signal_wall_offset_s,fill_offset_range_s,fill_offset_mad_s
8975647643,dota,grid,2026-08-31T09:21:13.808951+00:00,<missing>,Zero Tenacity,PuckChamp,1,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,,,0,,,0.0,,391,6.0,19.0,170,92,900.0,[],
8975732660,dota,grid,2026-08-31T10:32:23.079592+00:00,<missing>,Zero Tenacity,PuckChamp,2,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,49.99739999999999,49.99739999999999,1,,,0.0,357,251,5.0,16.0,101,50,900.0,[],
8975871235,dota,grid,2026-08-31T12:25:29.905726+00:00,<missing>,Team Synapse,Team Lynx,1,True,4,2,2,99.9901,92.44919999999999,-7.540900000000001,session_end cash+inventory,-0.0754164662301568,no,0,59,49.998599999999996,49.9996,3,163.45107319657285,183.32959949999997,174.49,24,659,4.0,10.0,167,52,9.125206999999996,"[7.60191199999997, 19.30770100000001]",0.7991805000000127
8976012755,dota,grid,2026-08-31T13:40:19.551124+00:00,<missing>,Team Lynx,Team Synapse,2,False,4,2,2,73.93005000000001,87.4647,-28.341450000000005,session_end cash+inventory,-0.38335494159682026,"no,yes",0,113,50.000400000000006,50.000400000000006,3,790.5832104830715,828.7910235,140.0,59,575,4.0,13.0,169,78,45.88663050000001,"[43.35530800000001, 1830.0]",2.095827
8976166971,dota,grid,2026-08-31T15:07:52.381553+00:00,<missing>,Team Synapse,Team Lynx,3,True,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,,,0,,,0.0,18,596,4.0,13.0,177,74,900.0,[],
8976300473,dota,grid,2026-08-31T16:23:12.540862+00:00,<missing>,4ikibamboni,Inner Circle x Insanity,1,True,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,50.001799999999996,50.0031,9,,,0.0,50,782,3.0,9.0,145,45,900.0,[],
8976441468,dota,grid,2026-08-31T17:41:49.295145+00:00,<missing>,Inner Circle x Insanity,4ikibamboni,2,False,2,1,1,50.003,70.16550000000001,20.16250000000001,session_end cash+inventory,0.4032258064516131,no,0,277,50.001799999999996,50.003,4,456.8683290000001,456.868329,80.65,7,217,4.0,13.0,81,34,73.39281550000001,"[13.458650999999975, 133.32698000000005]",59.93416450000004
8976511215,dota,grid,2026-08-31T18:28:38.257306+00:00,<missing>,Inner Circle x Insanity,4ikibamboni,3,False,4,1,3,40.297673999999994,40.254798,-0.042875999999989034,session_end cash+inventory,-0.0010639820055120064,no,0,108,200.00159999999997,200.00159999999997,1,622.675106232622,579.72647,70.68901,-33,800,5.0,18.0,299,158,10.84364400000004,"[8.190391000000005, 15.27773000000002]",2.2900180000000177
8976665322,dota,grid,2026-08-31T20:23:46.413482+00:00,<missing>,Pipsqueak + 4,Team Spirit Academy,1,False,10,6,4,400.0025,385.813097,-14.189402999999992,session_end cash+inventory,-0.03547328579196378,no,0,326,200.00035,200.0025,8,345.9505349043746,418.196939,579.158855,72,443,5.0,17.0,171,90,122.51224500000001,"[121.207989, 140.91906100000006]",0.720247999999998
8976751962,dota,grid,2026-08-31T21:39:01.316956+00:00,<missing>,Team Spirit Academy,Pipsqueak + 4,2,True,7,2,5,199.98999999999998,196.09519500000002,-3.8948049999999625,session_end cash+inventory,-0.01947499874993731,no,0,189,200.00160000000002,200.0017,4,425.7005085378067,417.0540555,285.697138,68,382,5.0,19.0,148,75,304.57104200000003,"[56.75304600000001, 308.136609]",2.964505000000031
8976806033,dota,grid,2026-08-31T22:52:35.306784+00:00,<missing>,Team Spirit Academy,Pipsqueak + 4,3,True,3,1,2,199.99439999999998,197.229798,-2.7646019999999965,session_end cash+inventory,-0.013823397055117526,no,0,121,200.00159999999997,200.00159999999997,2,340.6550129544076,267.16493049999997,277.768887,98,323,5.0,18.0,132,67,30.274808000000007,"[29.809949000000017, 43.87744799999999]",0.4648589999999899
8977252978,dota,grid,2026-09-01T09:17:04.064320+00:00,<missing>,PuckChamp,Klim Sani4,1,False,5,1,4,179.512,206.471994,26.959993999999995,session_end cash+inventory,0.1501849124292526,yes,0,111,200.0,200.0,2,483.6385110657546,509.12079100000005,224.380304,93,435,4.0,15.0,144,59,12.156953000000044,"[7.6082210000000146, 14.761796000000004]",2.60484299999996
8977325814,dota,grid,2026-09-01T11:02:26.087957+00:00,<missing>,Klim Sani4,PuckChamp,2,True,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,,,0,,,0.0,2091,108,3.0,13.0,28,14,900.0,[],
9007118998,dota,oddin,2026-09-19T21:19:43.344317+00:00,<missing>,MOUZ,Team Yandex,2,False,0,0,0,0,0,-5.3793,session_end cash+inventory,,<none>,0,,,,0,,,0.0,1817,1402,1.0,1.0,0,0,900.0,[],
9007118998.pgl-detached,dota,oddin,2026-09-19T20:48:13.058677+00:00,<missing>,MOUZ,Team Yandex,2,False,5,3,2,14.9968,9.6175,,unknown,,no,0,365,4.997999999999999,5.0,29,200.0943964127892,229.985,38.47,-42,651,1.0,2.0,2,2,23.045999999999992,"[22.043000000000006, 26.033999999999992]",0.9849999999999568
9007208887,dota,oddin,2026-09-19T21:45:13.654280+00:00,<missing>,MOUZ,Team Yandex,3,False,4,3,1,14.986,13.741200000000001,-1.244799999999998,session_end cash+inventory,-0.08306419324703042,no,0,384,4.997999999999999,5.0,46,30.27679122638489,32.021,31.23,-60,5197,1.0,1.0,0,0,832.5415,"[830.1669999999999, 833.0350000000001]",0.4895000000000209
9007618656,dota,oddin,2026-09-20T07:04:13.176052+00:00,<missing>,Conventus Stellarum,Xtreme Gaming,1,True,4,2,2,9.994,9.1215,-0.8725000000000005,session_end cash+inventory,-0.08730238142885736,"no,yes",0,91,4.9979000000000005,4.9995,45,468.76782538832356,420.495,18.669999999999998,-60,4682,1.0,1.0,0,0,1482.5345,"[826.048, 1566.0349999999999]",83.4994999999999
9007618767,dota,oddin,2026-09-20T07:02:19.331839+00:00,<missing>,Team Cobra,PlayTime,1,False,4,3,1,14.990600000000002,15.142000000000001,0.1513999999999971,session_end cash+inventory,0.010099662455138358,yes,0,104,4.998,4.998500000000001,42,233.3719517699115,151.97,22.6,-60,7819,1.0,1.0,0,0,879.058,"[819.035, 881.028]",0.9850000000000136
9007700576,dota,oddin,2026-09-20T08:21:55.577521+00:00,<missing>,Xtreme Gaming,Conventus Stellarum,2,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,,,0,,,0.0,-60,4760,1.0,1.0,0,0,900.0,[],
9007720090,dota,oddin,2026-09-20T08:39:49.944699+00:00,<missing>,PlayTime,Team Cobra,2,True,0,0,0,0,0,,unknown,,<none>,0,,,,0,,,0.0,-60,4919,1.0,1.0,0,0,900.0,[],
9007784381,dota,oddin,2026-09-20T09:35:21.790562+00:00,<missing>,Xtreme Gaming,Conventus Stellarum,3,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,,,0,,,0.0,-60,8318,1.0,1.0,1,1,900.0,[],
9007800408,dota,oddin,2026-09-20T09:46:30.877879+00:00,<missing>,Team Cobra,PlayTime,3,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,,,0,,,0.0,-60,3992,1.0,1.0,0,0,900.0,[],
9007918871,dota,oddin,2026-09-20T11:18:32.353745+00:00,<missing>,LGD Gaming,GamerLegion,1,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,4.9968,4.9984,38,,,0.0,-60,5629,1.0,1.0,0,0,900.0,[],
9008041645,dota,oddin,2026-09-20T12:31:38.016557+00:00,<missing>,GamerLegion,LGD Gaming,2,True,6,3,3,10.603165,9.4129,-1.1902650000000015,session_end cash+inventory,-0.11225563310577562,yes,0,307,4.99745,4.9998000000000005,60,44.95126336101167,29.011,25.700000000000003,-60,4316,1.0,1.0,0,0,8.402000000000015,"[8.026999999999987, 9.031000000000006]",0.3750000000000284
9008125103,dota,oddin,2026-09-20T13:18:08.596058+00:00,<missing>,Yakult Brothers, Pipsqueak+4,1,False,12,7,5,34.9901,33.2567,-1.7333999999999965,session_end cash+inventory,-0.049539726951337563,no,0,123,4.997999999999999,4.9998000000000005,46,49.635595802522836,95.949,91.96000000000001,-60,7043,1.0,1.0,0,0,8.083000000000027,"[4.0, 9.046999999999997]",0.4975000000000023
9008160103,dota,oddin,2026-09-20T13:39:09.244350+00:00,<missing>,Aurora,Natus Vincere,1,True,8,4,4,19.750303000000002,19.586399999999998,-0.16390300000000063,session_end cash+inventory,-0.008298758758283386,yes,0,109,4.997999999999999,4.9998000000000005,27,76.69003794539707,130.995,54.5575,-60,5456,1.0,1.0,0,0,8.534500000000008,"[8.029999999999973, 9.036000000000001]",0.5
9008292090,dota,oddin,2026-09-20T14:48:42.843467+00:00,<missing>, Pipsqueak+4,Yakult Brothers,2,True,3,2,1,9.9952,10.4814,0.4862000000000002,session_end cash+inventory,0.04864334880742758,no,0,174,4.998,5.0,39,71.9670211231324,71.9965,19.41,-60,5892,1.0,1.0,0,0,16.029999999999973,"[16.02199999999999, 20.044999999999987]",0.007999999999981355
