feed_class,rows,maps,no_move_mae_c,model_mae_c,gain_c,directional_markout_c,direction_accuracy_nonflat,flat_label_pct
not_whitelisted_or_unknown,242360,462,9.559669499917478,9.360391541314673,0.1992779586028075,1.5522293282719921,0.5636517892568611,2.247070473675524
whitelisted_live_feed,502526,948,10.084260416376466,9.86042645262456,0.2238339637519059,1.6408988788639796,0.5744602539048599,2.1425757075255807
whitelisted_no_live_feed,147120,276,10.174183999456226,9.898361742774695,0.27582225668153104,1.660780655247417,0.5749642663854234,2.0377922784121805
