month,rows,maps,no_move_mae_c,model_mae_c,gain_c,directional_markout_c,direction_accuracy_nonflat,flat_label_pct
2026-06,92547,176,9.613273255751134,9.384320132754606,0.22895312299652673,1.4976282321415064,0.5735174117283814,2.0108701524630725
2026-07,235707,446,9.652737720984105,9.517006850722986,0.13573087026111771,1.2035584433215814,0.5547898962004033,2.6006864454598295
2026-08,379106,719,9.905523916793719,9.67492206743852,0.23060184935520034,1.6254391911497048,0.5723931831031419,2.024763522603177
2026-09,184646,345,10.621240102682972,10.292209539843245,0.3290305628397263,2.2021858041874722,0.5903689633466224,1.9193483747278577
