game_second_bucket,rows,maps,no_move_mae_c,model_mae_c,gain_c,directional_markout_c,direction_accuracy_nonflat,flat_label_pct
0-59,97465,1685,7.862888216282768,7.846378644255665,0.01650957202710211,0.42591596983532554,0.5204486259501409,3.4884317447288775
120-179,98404,1681,10.062420734929475,9.784932568825184,0.2774881661042902,2.3401015202634037,0.5845748159837214,2.1147514328685824
180-239,98969,1681,9.978095161111057,9.628995030933654,0.3491001301774018,2.224111590498034,0.5902779210596901,2.056199415978741
240-299,99142,1682,9.901843315648263,9.645074770021097,0.2567685456271642,1.8793523431038308,0.581901123456663,2.0485767888483184
300-359,99150,1684,9.824338880484115,9.56203180543702,0.2623070750470944,1.9579142713061017,0.577134590523875,1.698436712052446
360-419,99593,1684,9.938696494733566,9.680167242334818,0.25852925239874625,1.6722721476408984,0.5788502731344355,2.0302631711064034
420-479,99583,1685,11.051605695751283,10.847424602756965,0.2041810929943197,1.1129735999116315,0.5674579250160943,1.7292108090738378
480-539,99644,1685,11.619579201958974,11.338285165430912,0.2812940365280608,1.3753126129019306,0.5846494449885733,1.6338163863353536
540-599,1662,1662,11.434987966305656,11.091263758355439,0.34372420795021663,1.8622442839951865,0.6013472137170851,1.7448856799037304
60-119,98394,1681,9.291977661239507,9.172582928520303,0.11939473271920463,1.5778894038254363,0.5568856650837551,2.621094782202167
