seed,match_id,slug,horn_at,engine_pnl,rebate,net
0,116295727286716930,lol-koia-ucam1-2026-06-04-game1,2026-06-04T15:12:46+00:00,1.8641226799999941,0.6813883218539999,2.545511001853994
0,116295727286716931,lol-koia-ucam1-2026-06-04-game2,2026-06-04T16:07:56+00:00,5.0,0.90675,5.90675
0,116295727286716932,lol-koia-ucam1-2026-06-04-game3,2026-06-04T17:13:21+00:00,13.843199999999968,2.2163087999999997,16.059508799999968
0,116295727286716933,lol-koia-ucam1-2026-06-04-game4,2026-06-04T18:07:18+00:00,1.3463143599999903,1.781935830312,3.1282501903119906
0,116295727286716934,lol-koia-ucam1-2026-06-04,2026-06-04T19:00:00+00:00,12.521765799999969,1.2787980670799999,13.800563867079969
0,115564793879469301,lol-c9-ly-2026-06-07-game1,2026-06-07T20:11:02+00:00,29.915588400000004,2.96518189878,32.88077029878001
0,115564793879469302,lol-c9-ly-2026-06-07-game2,2026-06-07T21:13:16+00:00,10.246135200000012,0.9228500316000001,11.168985231600011
0,115564793879469303,lol-c9-ly-2026-06-07-game3,2026-06-07T22:08:38+00:00,-5.263200000000012,0.9197442,-4.343455800000012
0,115570683341512218,lol-mvk-gam-2026-06-05-game1,2026-06-05T09:16:17+00:00,0.2397999999999998,0.042354675,0.2821546749999998
0,115570683341512219,lol-mvk-gam-2026-06-05-game2,2026-06-05T10:05:02+00:00,-60.12050000000002,1.6162072125,-58.50429278750002
0,115570683341512220,lol-mvk-gam-2026-06-05-game3,2026-06-05T10:56:15+00:00,-1.3333328,0.005999997599999999,-1.3273328024
0,116170292916656914,lol-wu-ccg-2026-06-04-game1,2026-06-04T20:21:53+00:00,2.9575626199999974,0.537875656311,3.4954382763109972
0,116170292916656915,lol-wu-ccg-2026-06-04-game2,2026-06-04T21:16:43+00:00,-40.40132659999998,2.327436366213,-38.07389023378698
