match_id,condition_id,slug_bt,feed_source,bt_pnl,bt_buy,bt_fills,dir,slug_live,mode,model,live_fills,live_buy,live_pnl,joined,tournament
115548681803406314,0x473f04943f45bec86c85532e4ecff3fc2b6110d637aa9d7d5aa317126b9b66a7,lol-gx-navi-2026-09-11,grid,1.6948999999999899,99.99909999999998,2.0,grid-3002600-m5,lol-gx-navi-2026-09-11,live,20260904T193238Z,7,30.001499999999997,-0.11859999999999893,2026-09-11T18:53,LEC - Summer 2026 (Playoffs: Playoffs)
115548681803406317,0xb9bd43060fd883c4965a61df6ae632bd2800da66664277c32e29d28ba01f9e36,lol-vit-mkoi-2026-09-12-game2,grid,1.3891874200000274,236.26718558000002,8.0,grid-3002601-m2,lol-vit-mkoi-2026-09-12-game2,live,20260912T100410Z,11,149.9986,3.9209999999999936,2026-09-12T16:05,LEC - Summer 2026 (Playoffs: Playoffs)
115548681803406318,0x1310d36c69a75d7f6fea21d9e8054a95a185d938b92213a43436ef657e6b8ce8,lol-vit-mkoi-2026-09-12-game3,grid,-7.58549979999998,899.9741,17.0,grid-3002601-m3,lol-vit-mkoi-2026-09-12-game3,live,20260912T100410Z,16,180.5894,-22.854299999999988,2026-09-12T17:05,LEC - Summer 2026 (Playoffs: Playoffs)
115548681803406319,0xecb012a3de993ed87df4736241fafca0b89a3922f7cf1430c88f8d6b3a59968d,lol-vit-mkoi-2026-09-12-game4,grid,-75.68407233000002,499.99517233,20.0,grid-3002601-m4,lol-vit-mkoi-2026-09-12-game4,live,20260912T100410Z,15,195.27823600000002,-28.219236000000024,2026-09-12T18:01,LEC - Summer 2026 (Playoffs: Playoffs)
115548681803406320,0x6d38a2f25823f8ab0d999efa04465b795ab1fdf3b626605e12bb638df5e30fd5,lol-vit-mkoi-2026-09-12,grid,45.08530649999989,779.5529485000001,16.0,grid-3002601-m5,lol-vit-mkoi-2026-09-12,live,20260912T100410Z,28,513.057631,2.96206899999998,2026-09-12T18:48,LEC - Summer 2026 (Playoffs: Playoffs)
115548681803406322,0x92d15c3fe44383c33477ae8a91b79fac8bd404be3e1bd175225ecc0fa9c265b3,lol-navi-mkoi-2026-09-18-game1,grid,0.0,0.0,0.0,grid-3002602-m1,lol-navi-mkoi-2026-09-18-game1,live,20260915T210431Z,0,0.0,0.0,2026-09-18T15:18,LEC - Summer 2026 (Playoffs: Playoffs)
115548681803406323,0x6267d59a258ee3fff2b36889ca361ed7e5ff8412353994e8fc0dabc2dc4dcef0,lol-navi-mkoi-2026-09-18-game2,grid,-59.42520000000002,489.6017,11.0,grid-3002602-m2,lol-navi-mkoi-2026-09-18-game2,live,20260915T210431Z,5,14.9885,-0.24380000000000024,2026-09-18T16:24,LEC - Summer 2026 (Playoffs: Playoffs)
115548681803406324,0xfd255a1bdf6993fc627f26a93b18cd18aaa03aca612a4afc0020c715678130a5,lol-navi-mkoi-2026-09-18-game3,grid,6.881399999999928,354.6492,11.0,grid-3002602-m3,lol-navi-mkoi-2026-09-18-game3,live,20260915T210431Z,12,39.9769,0.22160000000000046,2026-09-18T17:16,LEC - Summer 2026 (Playoffs: Playoffs)
115548681803406325,0x0b5158f1dcd16aeb8c931ac9174a433145071654e02bc15f50fc01323e05a07d,lol-navi-mkoi-2026-09-18-game4,grid,0.9599781200000166,399.99469999999997,8.0,grid-3002602-m4,lol-navi-mkoi-2026-09-18-game4,live,20260915T210431Z,4,14.991499999999998,0.2405000000000026,2026-09-18T18:12,LEC - Summer 2026 (Playoffs: Playoffs)
115548681803406328,0x19ff39c352fd81585da861f2716c149a1a2aff4d9ce72eb64ffc2cd3dfef9317,lol-kc-mkoi-2026-09-19-game1,grid,4.295099999999991,101.65069999999999,4.0,grid-3002603-m1,lol-kc-mkoi-2026-09-19-game1,live,20260919T112946Z,0,0.0,0.0,2026-09-19T15:15,LEC - Summer 2026 (Playoffs: Playoffs)
